arm,seed,t,mode,K,n_images,psnr,ssim,disagreement,pdr,retrieval_at_1,t_h,t_h_ret,tau
diffusion,0,10,one_step,8,624,41.487972259521484,0.9872923493385315,0.015368655323982239,0.01586069058830216,0.995192289352417,822.2777629359139,753.0000028156488,0.5
diffusion,0,30,one_step,8,624,37.1554069519043,0.9696663022041321,0.031291186809539795,0.03229298996330632,0.995192289352417,822.2777629359139,753.0000028156488,0.5
diffusion,0,50,one_step,8,624,35.03132247924805,0.9541641473770142,0.04375211149454117,0.04515285744725821,0.995192289352417,822.2777629359139,753.0000028156488,0.5
diffusion,0,100,one_step,8,624,32.12085723876953,0.9209835529327393,0.06941163539886475,0.07163388397236643,0.995192289352417,822.2777629359139,753.0000028156488,0.5
diffusion,0,150,one_step,8,624,30.42021942138672,0.8925051689147949,0.08932172507047653,0.09218140522323406,0.995192289352417,822.2777629359139,753.0000028156488,0.5
diffusion,0,200,one_step,8,624,29.212045669555664,0.8669459223747253,0.10395728796720505,0.10728553305987151,0.995192289352417,822.2777629359139,753.0000028156488,0.5
diffusion,0,300,one_step,8,624,27.482603073120117,0.8225383162498474,0.12623760104179382,0.1302791616133805,0.995192289352417,822.2777629359139,753.0000028156488,0.5
diffusion,0,500,one_step,8,624,25.005521774291992,0.7454543709754944,0.16725127398967743,0.1726059080204725,0.9839743375778198,822.2777629359139,753.0000028156488,0.5
diffusion,0,700,one_step,8,624,22.449949264526367,0.6472530961036682,0.2646689713001251,0.2731424821249613,0.6698718070983887,822.2777629359139,753.0000028156488,0.5
diffusion,0,900,one_step,8,624,18.256196975708008,0.3992089629173279,0.6242108345031738,0.6441952597161499,0.028846153989434242,822.2777629359139,753.0000028156488,0.5
diffusion,0,999,one_step,8,624,5.655442714691162,0.04452885687351227,0.968977689743042,1.0,0.0016025641234591603,822.2777629359139,753.0000028156488,0.5
diffusion,1,10,one_step,8,624,41.45059585571289,0.9871440529823303,0.015464449301362038,0.01599155572291858,0.995192289352417,817.3360558542606,744.0318330109724,0.5
diffusion,1,30,one_step,8,624,37.12236022949219,0.9694592356681824,0.03180060163140297,0.0328845265098529,0.995192289352417,817.3360558542606,744.0318330109724,0.5
diffusion,1,50,one_step,8,624,35.0013542175293,0.9540023803710938,0.04446064308285713,0.04597608602032037,0.995192289352417,817.3360558542606,744.0318330109724,0.5
diffusion,1,100,one_step,8,624,32.099822998046875,0.9207719564437866,0.06907337158918381,0.07142774043955168,0.995192289352417,817.3360558542606,744.0318330109724,0.5
diffusion,1,150,one_step,8,624,30.40403938293457,0.892348051071167,0.08867455273866653,0.09169702869408827,0.995192289352417,817.3360558542606,744.0318330109724,0.5
diffusion,1,200,one_step,8,624,29.199369430541992,0.8671135306358337,0.10658577084541321,0.11021875144267398,0.995192289352417,817.3360558542606,744.0318330109724,0.5
diffusion,1,300,one_step,8,624,27.47134780883789,0.8232341408729553,0.12945330142974854,0.1338657227934569,0.995192289352417,817.3360558542606,744.0318330109724,0.5
diffusion,1,500,one_step,8,624,24.97188949584961,0.7443642616271973,0.16728802025318146,0.1729900396401354,0.9903846383094788,817.3360558542606,744.0318330109724,0.5
diffusion,1,700,one_step,8,624,22.360151290893555,0.6425144672393799,0.2765718996524811,0.2859988647831485,0.6330128312110901,817.3360558542606,744.0318330109724,0.5
diffusion,1,900,one_step,8,624,18.174400329589844,0.3919398784637451,0.6293148398399353,0.650765063303841,0.028846153989434242,817.3360558542606,744.0318330109724,0.5
diffusion,1,999,one_step,8,624,5.626842498779297,0.04599400609731674,0.9670384526252747,1.0,0.004807692486792803,817.3360558542606,744.0318330109724,0.5
diffusion,2,10,one_step,8,624,41.468509674072266,0.9872536063194275,0.01546666119247675,0.01596672433782439,0.995192289352417,819.2893773005742,747.4226819379625,0.5
diffusion,2,30,one_step,8,624,37.142635345458984,0.9696414470672607,0.031581033021211624,0.03260210088514057,0.995192289352417,819.2893773005742,747.4226819379625,0.5
diffusion,2,50,one_step,8,624,35.01971435546875,0.9541519284248352,0.044267017394304276,0.04569824444957346,0.995192289352417,819.2893773005742,747.4226819379625,0.5
diffusion,2,100,one_step,8,624,32.11172866821289,0.9207419157028198,0.0698787271976471,0.07213802386681721,0.995192289352417,819.2893773005742,747.4226819379625,0.5
diffusion,2,150,one_step,8,624,30.416059494018555,0.8922690153121948,0.0886806920170784,0.09154788780224479,0.995192289352417,819.2893773005742,747.4226819379625,0.5
diffusion,2,200,one_step,8,624,29.214048385620117,0.8669824600219727,0.10537738353013992,0.10878441140776736,0.995192289352417,819.2893773005742,747.4226819379625,0.5
diffusion,2,300,one_step,8,624,27.488340377807617,0.8220484852790833,0.126949742436409,0.13105424092601858,0.995192289352417,819.2893773005742,747.4226819379625,0.5
diffusion,2,500,one_step,8,624,24.990585327148438,0.7448768615722656,0.16641263663768768,0.17179303680725463,0.9919871687889099,819.2893773005742,747.4226819379625,0.5
diffusion,2,700,one_step,8,624,22.42106819152832,0.648171067237854,0.2633659541606903,0.27188101799871756,0.6474359035491943,819.2893773005742,747.4226819379625,0.5
diffusion,2,900,one_step,8,624,18.199522018432617,0.3917369246482849,0.6338507533073425,0.6543442132361099,0.025641025975346565,819.2893773005742,747.4226819379625,0.5
diffusion,2,999,one_step,8,624,5.568339824676514,0.04483940824866295,0.9686809182167053,1.0,0.0,819.2893773005742,747.4226819379625,0.5
diffusion,0,10,reverse,6,256,39.12382888793945,0.9788838028907776,0.030531814321875572,0.059573587310555356,1.0,274.9207214057425,729.5774647887324,0.5
diffusion,0,30,reverse,6,256,34.4819450378418,0.9474256038665771,0.07153326272964478,0.1395754942011453,1.0,274.9207214057425,729.5774647887324,0.5
diffusion,0,50,reverse,6,256,32.3157958984375,0.9217301607131958,0.10298457741737366,0.2009432079514125,1.0,274.9207214057425,729.5774647887324,0.5
diffusion,0,100,reverse,6,256,29.511051177978516,0.8737183809280396,0.15598022937774658,0.3043481699316456,1.0,274.9207214057425,729.5774647887324,0.5
diffusion,0,150,reverse,6,256,27.90618896484375,0.8365356922149658,0.19370950758457184,0.3779654278424576,1.0,274.9207214057425,729.5774647887324,0.5
diffusion,0,200,reverse,6,256,26.777511596679688,0.8056128025054932,0.22310025990009308,0.43531257828471315,1.0,274.9207214057425,729.5774647887324,0.5
diffusion,0,300,reverse,6,256,25.17318344116211,0.7550071477890015,0.26735061407089233,0.5216537406514823,1.0,274.9207214057425,729.5774647887324,0.5
diffusion,0,500,reverse,6,256,22.849267959594727,0.6776751279830933,0.32999712228775024,0.6438894252922223,0.9765625,274.9207214057425,729.5774647887324,0.5
diffusion,0,700,reverse,6,256,20.419652938842773,0.596271276473999,0.4015204608440399,0.783445555475179,0.58203125,274.9207214057425,729.5774647887324,0.5
diffusion,0,900,reverse,6,256,16.658504486083984,0.46419578790664673,0.506112813949585,0.9875258506735306,0.02734375,274.9207214057425,729.5774647887324,0.5
diffusion,0,999,reverse,6,256,14.795523643493652,0.4175085425376892,0.5125058889389038,1.0,0.0078125,274.9207214057425,729.5774647887324,0.5
diffusion,1,10,reverse,6,256,39.100730895996094,0.9786698222160339,0.030554702505469322,0.05972531352062121,1.0,274.51729234484765,716.4179104477612,0.5
diffusion,1,30,reverse,6,256,34.467227935791016,0.9472026228904724,0.07160332798957825,0.1399631108348029,1.0,274.51729234484765,716.4179104477612,0.5
diffusion,1,50,reverse,6,256,32.29679870605469,0.9214190244674683,0.10303279012441635,0.2013983180488705,1.0,274.51729234484765,716.4179104477612,0.5
diffusion,1,100,reverse,6,256,29.51416778564453,0.8736643195152283,0.1555294394493103,0.3040135812526331,1.0,274.51729234484765,716.4179104477612,0.5
diffusion,1,150,reverse,6,256,27.922229766845703,0.8368468284606934,0.19257508218288422,0.3764267433981187,1.0,274.51729234484765,716.4179104477612,0.5
diffusion,1,200,reverse,6,256,26.79165267944336,0.8059395551681519,0.2218807339668274,0.43371053597992687,1.0,274.51729234484765,716.4179104477612,0.5
diffusion,1,300,reverse,6,256,25.14039421081543,0.7547406554222107,0.26739075779914856,0.5226690339796957,1.0,274.51729234484765,716.4179104477612,0.5
diffusion,1,500,reverse,6,256,22.722782135009766,0.675358235836029,0.33098700642585754,0.6469806972101156,0.95703125,274.51729234484765,716.4179104477612,0.5
diffusion,1,700,reverse,6,256,20.187271118164062,0.5901732444763184,0.40983283519744873,0.801100732983122,0.54296875,274.51729234484765,716.4179104477612,0.5
diffusion,1,900,reverse,6,256,16.531532287597656,0.4616090655326843,0.5104418992996216,0.9977613908783494,0.01953125,274.51729234484765,716.4179104477612,0.5
diffusion,1,999,reverse,6,256,14.585882186889648,0.41366851329803467,0.5115871429443359,1.0,0.0,274.51729234484765,716.4179104477612,0.5
diffusion,2,10,reverse,6,256,39.10352325439453,0.9788219928741455,0.03068264201283455,0.05960138704215463,1.0,274.9772677054791,729.4117647058823,0.5
diffusion,2,30,reverse,6,256,34.47040939331055,0.9473939538002014,0.07202084362506866,0.13990132186806606,1.0,274.9772677054791,729.4117647058823,0.5
diffusion,2,50,reverse,6,256,32.30514144897461,0.9217779636383057,0.10387985408306122,0.2017878182229947,1.0,274.9772677054791,729.4117647058823,0.5
diffusion,2,100,reverse,6,256,29.50445556640625,0.8734258413314819,0.15735310316085815,0.3056602231271799,1.0,274.9772677054791,729.4117647058823,0.5
diffusion,2,150,reverse,6,256,27.89209747314453,0.8356473445892334,0.19508835673332214,0.3789613897074727,1.0,274.9772677054791,729.4117647058823,0.5
diffusion,2,200,reverse,6,256,26.754487991333008,0.8042156100273132,0.22448180615901947,0.4360585052359258,1.0,274.9772677054791,729.4117647058823,0.5
diffusion,2,300,reverse,6,256,25.114622116088867,0.7529283761978149,0.26838433742523193,0.5213396800784729,1.0,274.9772677054791,729.4117647058823,0.5
diffusion,2,500,reverse,6,256,22.712818145751953,0.6720273494720459,0.33191531896591187,0.6447493466381563,0.98046875,274.9772677054791,729.4117647058823,0.5
diffusion,2,700,reverse,6,256,20.290531158447266,0.5916270017623901,0.4067632853984833,0.7901423872635311,0.578125,274.9772677054791,729.4117647058823,0.5
diffusion,2,900,reverse,6,256,16.681556701660156,0.45977482199668884,0.5121431350708008,0.9948439642703814,0.046875,274.9772677054791,729.4117647058823,0.5
diffusion,2,999,reverse,6,256,14.899040222167969,0.4183373749256134,0.5147974491119385,1.0,0.01171875,274.9772677054791,729.4117647058823,0.5
